APHUS_MTRNT_PC_LGZ_DISTB_FCLTY_LCT_LKFM_NO|SIDO_NM|SIGNGU_NM|TNSHP_NM|EMD_NM|HONO_NM|HONO_LO|HONO_LA|MTRNT_CLSF|SMOEU|CNTRCT_DE|GTN|MNTH_RENTCG|FLR|BULD_YR|NGHB_LGZ_DISTB_FCLTY|NGHB_LGZ_DISTB_FCLTY_LO|NGHB_LGZ_DISTB_FCLTY_LA|NGHB_LGZ_DISTB_FCLTY_DSTNC|__source_file|LTNO_NM|LTNO_LO|LTNO_LA|BILDNG_YR|bonbun|bubun|bonbun4|bubun4|PNU
22523|서울특별시|강서구||화곡동||||전세|56.85|20241230|18700|0|3||홈플러스(주) 강서점|126.85492|37.55853|1.95794|유통시설2402_csv.csv|56-30|126.85094|37.54121|2002|||0000|0000|1150010300100000000
22524|서울특별시|강서구||화곡동||||월세|32.16|20241021|1000|49|4||홈플러스(주) 강서점|126.85492|37.55853|1.99|유통시설2402_csv.csv|56-321|126.84981|37.5411|2008|||0000|0000|1150010300100000000
22525|서울특별시|강서구||화곡동||||월세|42.87|20240920|11100|25|4||홈플러스(주) 강서점|126.85492|37.55853|1.9887|유통시설2402_csv.csv|56-323|126.85044|37.541|2001|||0000|0000|1150010300100000000
22526|서울특별시|강서구||화곡동||||월세|41.58|20241111|2000|70|3||홈플러스(주) 강서점|126.85492|37.55853|2.01629|유통시설2402_csv.csv|56-327|126.84999|37.54083|2003|||0000|0000|1150010300100000000
22527|서울특별시|강서구||화곡동||||전세|47.14|20240709|12500|0|1||홈플러스(주) 강서점|126.85492|37.55853|2.01629|유통시설2402_csv.csv|56-327|126.84999|37.54083|2003|||0000|0000|1150010300100000000
22528|서울특별시|강서구||화곡동||||전세|48.57|20240827|15400|0|4||홈플러스(주) 강서점|126.85492|37.55853|2.10777|유통시설2402_csv.csv|56-340|126.8506|37.53989|2003|||0000|0000|1150010300100000000
22529|서울특별시|강서구||화곡동||||전세|41.52|20240810|14500|0|2||홈플러스(주) 강서점|126.85492|37.55853|2.08209|유통시설2402_csv.csv|56-342|126.85101|37.54007|2015|||0000|0000|1150010300100000000
22530|서울특별시|강서구||화곡동||||전세|58.53|20240808|14800|0|2||홈플러스(주) 강서점|126.85492|37.55853|2.03733|유통시설2402_csv.csv|56-346|126.85089|37.54049|2002|||0000|0000|1150010300100000000
22531|서울특별시|강서구||화곡동||||월세|42.0|20240924|11500|20|4||홈플러스(주) 강서점|126.85492|37.55853|2.04427|유통시설2402_csv.csv|56-347|126.85078|37.54044|2002|||0000|0000|1150010300100000000
22532|서울특별시|강서구||화곡동||||전세|39.72|20240708|10430|0|3||홈플러스(주) 강서점|126.85492|37.55853|2.08161|유통시설2402_csv.csv|56-37|126.84898|37.54041|1993|||0000|0000|1150010300100000000
