전용면적(㎡),대지권면적(㎡),계약일,거래금액(만원),층,거래유형,관내,PNU,매수자_M,매수자_개인,매수자_공공기관,매수자_기타,매수자_법인,매도자_M,매도자_개인,매도자_공공기관,매도자_기타,매도자_법인,등기일자,건축연령,계약기간,거래유형_중개거래,거래유형_직거래
29.99,18.29,2024-01-11,36000,4,직거래,0,1150010300110410018,0,1,0,0,0,0,1,0,0,0,2024-01-26,2,,0,1
46.44,30.74,2024-01-11,16700,3,중개거래,1,1150010300104000076,0,1,0,0,0,0,1,0,0,0,2024-04-04,16,,1,0
40.4,22.84,2024-01-11,12000,3,중개거래,1,1150010300100290221,0,1,0,0,0,0,1,0,0,0,2024-02-14,32,,1,0
60.58,35.79,2024-01-10,24000,3,중개거래,1,1150010300109880016,0,1,0,0,0,0,1,0,0,0,2024-01-30,17,,1,0
29.84,18.91,2024-01-10,29500,5,직거래,0,1150010300110350003,0,1,0,0,0,0,1,0,0,0,,3,,0,1
50.19,28.6698,2024-01-10,22500,2,중개거래,1,1150010300110810006,0,1,0,0,0,0,1,0,0,0,2024-02-26,13,,1,0
26.22,16.58,2024-01-10,27800,2,직거래,0,1150010300109940006,0,1,0,0,0,0,1,0,0,0,2024-01-17,3,,0,1
43.8,33.8,2024-01-09,17000,4,중개거래,1,1150010300105040194,0,1,0,0,0,0,1,0,0,0,2024-02-15,17,,1,0
48.48,24.356,2024-01-09,15500,4,중개거래,1,1150010300104080105,0,1,0,0,0,0,1,0,0,0,2024-03-15,23,,1,0
29.94,17.13,2024-01-09,22500,4,직거래,0,1150010300104030014,0,1,0,0,0,0,1,0,0,0,2024-01-09,7,,0,1
38.8,20.602,2024-01-09,14000,5,중개거래,1,1150010300100560274,0,0,0,0,1,0,1,0,0,0,2024-02-07,23,,1,0
48.32,27.34,2024-01-08,20900,4,중개거래,1,1150010300104030015,0,1,0,0,0,0,1,0,0,0,2024-03-07,13,,1,0
39.36,22.33,2024-01-06,16000,5,중개거래,1,1150010300100560163,0,1,0,0,0,0,1,0,0,0,2024-04-05,15,,1,0
34.05,19.12,2024-01-06,17000,5,중개거래,1,1150010300103930007,0,1,0,0,0,0,1,0,0,0,2024-01-25,17,,1,0
53.14,32.05,2024-01-05,32500,3,중개거래,1,1150010300104580025,0,1,0,0,0,0,1,0,0,0,2024-03-15,5,,1,0
51.5,31.41,2024-01-05,42000,4,직거래,0,1150010300110410018,0,1,0,0,0,0,1,0,0,0,2024-01-12,2,,0,1
36.16,22.09,2024-01-05,24400,4,중개거래,1,1150010300104240056,0,1,0,0,0,0,1,0,0,0,2024-01-30,10,,1,0
29.99,18.29,2024-01-05,36000,3,직거래,0,1150010300110410018,0,1,0,0,0,0,1,0,0,0,2024-01-12,2,,0,1
22.87,14.22,2024-01-05,29900,4,중개거래,1,1150010300104030013,0,1,0,0,0,0,1,0,0,0,2024-01-11,2,,1,0
35.04,19.673,2024-01-05,15400,1,중개거래,1,1150010300101020251,0,1,0,0,0,0,1,0,0,0,2024-01-09,29,,1,0
51.96,29.11,2024-01-04,21600,5,직거래,0,1150010300101630009,0,1,0,0,0,0,1,0,0,0,2024-01-05,16,,0,1
44.11,27.22,2024-01-04,26400,2,중개거래,1,1150010300103380016,0,1,0,0,0,0,1,0,0,0,2024-02-02,10,,1,0
29.91,18.51,2024-01-04,22300,2,중개거래,1,1150010300107730007,0,1,0,0,0,0,1,0,0,0,2024-02-28,8,,1,0
49.17,28.881,2024-01-04,14000,-1,중개거래,1,1150010300101570019,0,1,0,0,0,0,1,0,0,0,2024-02-05,29,,1,0
43.665,26.96,2024-01-03,26000,6,직거래,0,1150010300100240338,0,1,0,0,0,0,1,0,0,0,2024-01-03,9,,0,1
29.95,18.27,2024-01-03,36500,5,직거래,0,1150010300110410018,0,1,0,0,0,0,1,0,0,0,2024-01-12,2,,0,1
40.35,20.36,2024-01-03,15500,3,중개거래,1,1150010300100560316,0,1,0,0,0,0,1,0,0,0,2024-01-08,23,,1,0
40.2,29.05,2024-01-03,6400,-1,중개거래,1,1150010300104090240,0,1,0,0,0,0,1,0,0,0,2024-04-04,38,,1,0
46.42,21.02,2024-01-03,15000,3,직거래,0,1150010300104080119,0,1,0,0,0,0,1,0,0,0,2024-01-19,24,,0,1
54.29,30.34,2024-01-03,31000,2,중개거래,1,1150010300103380011,0,1,0,0,0,0,1,0,0,0,2024-03-15,18,,1,0
29.95,18.27,2024-01-03,38500,2,직거래,0,1150010300110410018,0,1,0,0,0,0,1,0,0,0,2024-01-11,2,,0,1
29.91,18.25,2024-01-03,40000,6,직거래,0,1150010300110410018,0,1,0,0,0,0,1,0,0,0,2024-01-11,2,,0,1
29.99,18.29,2024-01-03,36000,6,직거래,0,1150010300110410018,0,1,0,0,0,0,1,0,0,0,2024-01-11,2,,0,1
46.87,28.6,2024-01-03,45000,6,직거래,0,1150010300110410018,0,1,0,0,0,0,1,0,0,0,2024-01-12,2,,0,1
